first_name,last_name,email_id,password,mobile,user_type
amit,chaudhari,amitchaudhari333@gmail.com,amitamit,3828850549,patient
teerth,patel,teerth@gmail.com,teerth123,3828850111,patient
manpreet,kaur,manpreetkaur@gmail.com,manpreetkaur,1231231234,doctor
arshdeep,kaur,arshkaur@gmail.com,adminadmin,382888888,admin
sarah,johnson,sarah.johnson@email.com,sarah123,5551234567,patient
michael,brown,michael.brown@healthcare.com,mikepass,5559876543,doctor
jessica,davis,jessica.davis@email.com,jess2024,5551111111,patient
david,wilson,david.wilson@medcenter.com,david456,5552222222,doctor
emily,martinez,emily.martinez@email.com,emily789,5553333333,patient
james,garcia,james.garcia@clinic.com,james321,5554444444,doctor
ashley,rodriguez,ashley.rodriguez@email.com,ashley999,5555555555,patient
robert,lopez,robert.lopez@hospital.com,robert777,5556666666,doctor
amanda,hernandez,amanda.hernandez@email.com,amanda888,5557777777,patient
daniel,gonzalez,daniel.gonzalez@medgroup.com,daniel111,5558888888,doctor
lisa,taylor,lisa.taylor@email.com,lisa222,5559999999,patient
christopher,moore,christopher.moore@healthsys.com,chris333,5550000000,doctor
michelle,jackson,michelle.jackson@email.com,michelle444,5551122334,patient
matthew,martin,matthew.martin@clinic.com,matt555,5552233445,doctor
jennifer,lee,jennifer.lee@email.com,jennifer666,5553344556,patient
kevin,perez,kevin.perez@hospital.com,kevin777,5554455667,doctor
stephanie,white,stephanie.white@email.com,stephanie888,5555566778,patient
brian,harris,brian.harris@medcenter.com,brian999,5556677889,doctor
nicole,clark,nicole.clark@email.com,nicole000,5557788990,patient
jason,lewis,jason.lewis@healthcare.com,jason111,5558899001,doctor
rachel,robinson,rachel.robinson@email.com,rachel222,5559900112,patient
eric,walker,eric.walker@clinic.com,eric333,5550011223,doctor
karen,hall,karen.hall@email.com,karen444,5551122334,patient
ryan,allen,ryan.allen@hospital.com,ryan555,5552233445,doctor
heather,young,heather.young@email.com,heather666,5553344556,patient
adam,king,adam.king@medgroup.com,adam777,5554455667,doctor
melissa,wright,melissa.wright@email.com,melissa888,5555566778,patient
jonathan,scott,jonathan.scott@healthcare.com,jonathan999,5556677889,doctor
crystal,green,crystal.green@email.com,crystal000,5557788990,patient
anthony,baker,anthony.baker@clinic.com,anthony111,5558899001,doctor
laura,adams,laura.adams@email.com,laura222,5559900112,patient
mark,nelson,mark.nelson@hospital.com,mark333,5550011223,doctor
kimberly,carter,kimberly.carter@email.com,kimberly444,5551122334,patient
steven,mitchell,steven.mitchell@medcenter.com,steven555,5552233445,doctor
amy,perez,amy.perez@email.com,amy666,5553344556,patient
joshua,roberts,joshua.roberts@healthcare.com,joshua777,5554455667,doctor
angela,turner,angela.turner@email.com,angela888,5555566778,patient
thomas,phillips,thomas.phillips@clinic.com,thomas999,5556677889,doctor
brenda,campbell,brenda.campbell@email.com,brenda000,5557788990,patient
charles,parker,charles.parker@hospital.com,charles111,5558899001,doctor
maria,admin,maria.admin@healthsys.com,maria123,5559900112,admin
william,evans,william.evans@medgroup.com,william222,5550011223,doctor
linda,edwards,linda.edwards@email.com,linda333,5551122334,patient
joseph,collins,joseph.collins@healthcare.com,joseph444,5552233445,doctor
patricia,stewart,patricia.stewart@email.com,patricia555,5553344556,patient
richard,sanchez,richard.sanchez@clinic.com,richard666,5554455667,doctor
barbara,morris,barbara.morris@email.com,barbara777,5555566778,patient
john,admin,john.admin@healthsys.com,john888,5556677889,admin
susan,rogers,susan.rogers@email.com,susan999,5557788990,patient
paul,reed,paul.reed@hospital.com,paul000,5558899001,doctor
